Organización,Latitud,Longitud,Estado,Metodología de Registro,Tipo de Datos y Productos,Tipo de Organización o Proyecto,Contacto
Observatorio de Violencia Social y de Género de Puebla,19.0414,-98.2063,Puebla,"Monitoreo de al menos 10 medios digitales locales, solicitudes de acceso a la información a fiscalía, y acompañamiento selectivo de casos.","Informes semestrales detallados, mapas de calor por municipio, boletines de prensa para incidir en políticas locales.",Observatorio / informe estadístico,Web: https://www.iberopuebla.mx/IDHIE/OVSG
Mujeres Alertas,21.019,-101.2574,Guanajuato,Sobre la base de datos de Incidencia Delictiva Municipal desde 2015 hasta enero de 2025 proporcionada por el Secretariado Ejecutivo de Sistema Nacional de Seguridad Pública se desagregó la información del estado de Guanajuato,"Mapa interactivo estatal, reportes, llamamiento a alerta de gènero",Base de datos / mapa interactivo,Web: https://www.mujeresalertas.mx/
Ellas tienen nombre,28.6329,-106.0691,Chihuahua,"adopta una postura metodológica y política basada en la premisa de que todos los asesinatos de mujeres y niñas son feminicidios, a menos que las autoridades demuestren, a lo largo del tiempo, un compromiso sostenido con la realización de investigaciones serias, éticas y responsables, que produzcan pruebas claras, suficientes y verificables que indiquen lo contrario.",Mapa interactivo local,Base de datos / mapa interactivo,Web: https://www.ellastienennombre.org/map/
Artemisas por la Equidad A.C.,19.4326,-99.1332,Ciudad de México,"Monitoreo de medios locales, acompañamiento legal/psicológico a víctimas y validación de casos vía capacitaciones/familiares","Mapas interactivos de alertas VG (20 por feminicidio al 2021), conteos anuales (108 feminicidios 2019), informes de impunidad y jornadas asistenciales",Base de datos / mapa interactivo,Facebook: https://facebook.com/Arthemisas2007 | Email: arthemisas2007@yahoo.com.mx
SEIINAC (Servicios de Inclusión Integral y Derechos Humanos A.C.),20.0911,-98.7624,Hidalgo,"Monitoreo de medios locales, cruces con datos oficiales (PGJH/SESNSP) y análisis de impunidad en feminicidios","Informes anuales de muertes violentas de mujeres (54 en Hidalgo 2025), comparativos de subregistro, capacitaciones GESI para investigaciones",Observatorio / informe estadístico,"X: https://x.com/SEIINAC | Facebook: https://facebook.com/seiinac | Web: https://seiinac.org.mx | Dirección: 1a. Galeana 101, Centro, C.P. 42010, Pachuca de Soto, Hidalgo | Tel: +52 771 133 6044"
Católicas por el Derecho a Decidir,19.4326,-99.1332,Ciudad de México,"Análisis de políticas públicas, acompañamiento jurídico-espiritual a víctimas de violencia y monitoreo cualitativo de casos emblemáticos","Informes sobre derechos reproductivos vinculados a feminicidios, argumentos teológicos feministas, campañas contra impunidad en violencia de género",Observatorio / informe estadístico,Web: https://catolicasmexico.org
Observatorio de Justicia y Derechos Humanos de las Mujeres y las Niñas ,23.29277778,-102.7005556,Zacatecas,Análisis cualitativo de políticas y casos vía redes feministas,"Informes de impunidad, posicionamientos colectivos",Observatorio / informe estadístico,Facebook: https://www.facebook.com/observatoriojusticiayddhh/
Cátedra Unesco de la UNAM,19.3187029,-99.1806998,Ciudad de México,Investigación académica con datos abiertos y etnografías,Estudios teóricos sobre feminicidio como crimen de Estado,Observatorio / informe estadístico,Web: https://catedraunescodh.unam.mx/catedra/catedra/
Justicia Pro-Persona A.C.,19.2823,-99.6557,Estado de México,Monitoreo judicial y litigios estratégicos,Reportes de impunidad en feminicidios locales,Observatorio / informe estadístico,Instagram: https://www.instagram.com/justicia_pro_persona/
"Centro de Derechos Humanos ""Victoria Diez""",21.019,-101.2574,Guanajuato,Seguimiento de carpetas judiciales y medios estatales,Informes anuales de violencia de género,Observatorio / informe estadístico,Web: https://www.cdhvictoriadiez.com/
Comité de América Latina y el Caribe para la Defensa de los Derechos de la Mujer (CLADEM-México),19.4326,-99.1332,Ciudad de México,Análisis comparativo regional y talleres,Reportes LAC sobre feminicidios México,Observatorio / informe estadístico,Web: https://www.cladem.org/
"Litigio Estratégico en Derechos Humanos, A.C.",19.432678,-99.134209,Ciudad de México,Litigios y monitoreo de alertas VG,Reportes e informer,Incidencia y defensa legal,Web: https://www.idheas.org.mx/ | Email: info@idheas.org.mx
Centro de Derechos Humanos YURENI A.C.,17.0732,-96.7266,Oaxaca,Registro comunitario indígena y visitas campo,"Informes violencia rural, guías locales",Observatorio / informe estadístico,Facebook: https://www.facebook.com/p/Yureni-AC-100064423883116/ | Email: ac.yureni@gmail.com
Comisión de Derechos Humanos Mahatma Gandhi,17.0732,-96.7266,Oaxaca,Monitoreo defensoras y alertas VG,Reportes anuales Oaxaca,Observatorio / informe estadístico,Facebook: https://www.facebook.com/crdhmahatma/
Consorcio para el Diálogo Parlamentario y la Equidad Oaxaca,17.0790846,-96.7089983,Oaxaca,Incidencia legislativa con datos locales,Estudios equidad de género,Observatorio / informe estadístico,Web: https://consorciooaxaca.org/
Programa de Género del Instituto de Derechos Humanos Ignacio Ellacuría SJ,19.0323517,-98.242663,Puebla,Análisis académico-jesuita,Publicaciones género-violencia,Observatorio / informe estadístico,"Web: https://www.iberopuebla.mx/IDHIE | Dirección: Blvd. del Niño Poblano No. 2901, Colonia Reserva Territorial Atlixcáyotl, San Andrés Cholula, Puebla, C.P. 72820 | Tel: +52 222 372 3000 / +52 222 229 0700 | Email: webmaster@iberopuebla.mx"
Centro de Integración y Participación Social desde la Equidad,19.0414,-98.2063,Puebla,Sensibilización comunitaria y conteos,Informes municipales Puebla,Observatorio / informe estadístico,
Maya sin Fronteras A.C.,21.1619,-86.8515,Quintana Roo,Registro indígenas/migrantes,Alertas sureste México,Periodismo / documentación independiente,Web: https://www.mayasinfronteras.org/ | Email: gracielamachuca5@gmail.com
"Asociación Sinaloense de Universitarias, A.C.",24.8045,-107.3948,Sinaloa,Monitoreo académico-estatal,Conteos 15+ anuales Sinaloa,Observatorio / informe estadístico,
Frente Cívico Sinaloense,24.8045,-107.3948,Sinaloa,Protestas y cruces datos,Posicionamientos impunidad,Observatorio / informe estadístico,Web: https://eulacfoundation.org/es/frente-civico-sinaloense-secretaria-derechos-humanos
Observatorio Ciudadano Nacional del Feminicidio Sonora (OCNF Sonora),29.0892,-110.9613,Sonora,Monitoreo medios/red OCNF,"Mapas Sonora, informes OCNF",Base de datos / mapa interactivo,Web: https://www.observatoriofeminicidiomexico.org/
Comité de Derechos Humanos de Tabasco (CODEHUTAB),17.994944,-92.921935,Tabasco,Seguimiento judicial,Informes DDHH Tabasco,Observatorio / informe estadístico,Web: https://codehutabac.org/
"Colectivo Mujer y Utopía, A.C.",19.3182,-98.2374,Tlaxcala,Acompañamiento directo,Guías violencia Tlaxcala,Observatorio / informe estadístico,Web: https://mujeryutopia.org/ | Instagram: https://www.instagram.com/mujeryutopia/ | Facebook: https://www.facebook.com/colectivo.mujerutopia
Red Nacional de Periodistas,19.1738,-96.1342,Veracruz,Monitoreo mediático,Cobertura feminicidios Veracruz,Periodismo / documentación independiente,Instagram: https://www.instagram.com/redperiodistamx/
Ciencia Social Alternativa,20.9801,-89.6169,Yucatán,Investigación académica,Estudios sureste,Observatorio / informe estadístico,Web: https://www.kookay.org/
Mujeres Trabajando en Pro de los Derechos Humanos A.C.,20.9801,-89.6169,Yucatán,Acompañamiento local,Reportes DDHH Yucatán,Observatorio / informe estadístico,Tel: 23 84 09 65 21
Observatorio Nacional de Crímenes de Odio contra Personas LGBT (ONCO) - Fundación Arcoíris/Mx,19.4326,-99.1332,Nacional (registra casos en los 32 estados),"Registro y sistematización de casos de asesinato, desaparición y agresiones contra personas LGBT+ (incluye transfeminicidios); monitoreo de medios y protocolo de investigación propio, con trabajo de incidencia política.","Panel/mapa interactivo de agresiones, informes anuales (desde 2020), categorización por tipo de caso (asesinato, desaparición, sin información)",Observatorio / informe estadístico,Web: http://www.fundacionarcoiris.org.mx/observatorio-nacional-de-crimenes-de-odio-contra-personas-lgbt-en-mexico/ | Email: info@fundacionarcoiris.org.mx | Facebook: https://www.facebook.com/fundarcdiv/ | Instagram: https://www.instagram.com/fundacion.arcoiris_/ | X: https://x.com/fund_arcoiris
"Letra S, Sida, Cultura y Vida Cotidiana",19.4326,-99.1332,Nacional (registra casos en al menos 24 de las 32 entidades),"Monitoreo hemerográfico (medios de comunicación) de muertes violentas por prejuicio contra personas LGBT+, incluyendo transfeminicidios; se complementa con reportes ciudadanos vía la plataforma Visible (activa desde 2017).","Informes anuales 'Muertes violentas de personas LGBT+', análisis de armas y ubicación de hallazgo de cuerpos, estadísticas por tipo de violencia",Observatorio / informe estadístico,Web: https://letraese.org.mx/los-rastros-de-la-violencia/
Sin Violencia LGBTI+ (Red Regional de Información LGBTI),19.4326,-99.1332,"Regional (América Latina y el Caribe), con nodo México operado por Letra S","Sistema regional de documentación de homicidios por prejuicio (incluye transfeminicidios), diseñado en parte por Letra S; monitoreo comunitario vía organizaciones miembro en cada país.","Informes nacionales y regionales anuales, boletines temáticos, visor de estadísticas interactivo",Observatorio / informe estadístico,Web: https://sinviolencia.lgbt/
Archivo/Memoria Trans México,19.4326,-99.1332,Ciudad de México,"No es un conteo de casos; recopila historias de vida, imágenes y objetos personales de mujeres trans mexicanas (fundado en 2019), organizados en 'fondos' por persona, incluyendo a mujeres fallecidas víctimas de transfeminicidio.","Archivo digital (100+ elementos), exposiciones en museos (Tamayo, Museo Universitario del Chopo), conversatorios y performances",Arte y memoria,Web: https://www.memoriatrans.mx/
Nuestras Hijas de Regreso a Casa A.C.,28.6329,-106.0691,Chihuahua (Ciudad Juárez),"Fundada por madres y familiares de víctimas de feminicidio; documentación vía testimonios familiares, seguimiento de casos individuales y litigio estratégico ante organismos interamericanos de derechos humanos.","Expedientes de caso, campañas de sensibilización (símbolo de zapatos rojos), materiales documentales, denuncias ante la Comisión y Corte Interamericana de DDHH",Incidencia y defensa legal,Blog: https://nuestrashijasderegresoacasa.blogspot.com/
Frida Guerrera (proyecto periodístico independiente),19.4326,-99.1332,Ciudad de México,"Monitoreo diario de medios nacionales y regionales; cataloga en una base de datos propia edad de la víctima, ubicación y método del asesinato.","Blog con perfiles de víctimas ('La Columna Rota'), colaboración directa en investigaciones de casos específicos",Periodismo / documentación independiente,Web: https://fridaguerrera.com/
Fuentes Rojas / Bordamos por la Paz,19.4326,-99.1332,"CDMX (Coyoacán), con red nacional (Guadalajara, Puebla y otros)","No es un registro estadístico; borda en espacios públicos los nombres de víctimas de feminicidio y otras violencias ('una víctima, un pañuelo') para reconstruir memoria colectiva.","Pañuelos bordados como archivo físico de memoria, activismo en plazas públicas, red replicada en varios países de América Latina",Arte y memoria,Facebook: https://www.facebook.com/BordandoxlapazMexico.MemoriayJusticia/?locale=es_LA
La Antimonumenta,19.4326,-99.1332,"CDMX (original, frente a Bellas Artes), con réplicas en Guadalajara (Jalisco) y Morelia (Michoacán)","No es un registro; escultura-protesta permanente organizada por la Comisión de Antimonumentos (madres, hermanas, familiares de víctimas, artistas y colectivos aliados).",Instalación artística en espacio público con estadísticas grabadas (ej. '9 a 10 mujeres asesinadas al día'),Arte y memoria,Web: https://experienciasparalamemoria.mx/antimonumenta/
Lorena Wolffer (cartografía corporal / performance),19.4326,-99.1332,Nacional / CDMX (base de la artista),No es un mapa geográfico convencional; usa el cuerpo como mapa de la violencia. En 'Mientras dormíamos: el caso Juárez' (2002-2004) transforma su cuerpo en mapa de agravios sobre los feminicidios de Juárez; en 'Diarias Global' cada testimonio recibido se contabiliza y ubica en un mapa.,"Performance, instalación, testimonios recopilados, mapeo simbólico",Arte y memoria,Web: https://conlaa.com/lorena-wolffer-testimonios-desde-el-arte-el-activismo-frente-la-violencia-feminicida/
Jane Terrazas - Bordando resistencia: taller sobre la cartografía,28.6329,-106.0691,Chihuahua (Ciudad Juárez),Toma los datos geográficos del proyecto 'Ellas Tienen Nombre' y los convierte en cartografía textil mediante talleres comunitarios donde participantes bordan y aprenden sobre los casos mientras reconstruyen el mapa.,"Piezas textiles colectivas basadas en datos geográficos de feminicidios, talleres comunitarios",Arte y memoria,Web: https://www.scielo.org.mx/scielo.php?pid=S1405-94362021000200175&script=sci_arttext_plus&tlng=es
Elina Chauvet - Zapatos Rojos,28.6329,-106.0691,"Chihuahua (Ciudad Juárez, origen 2009), con réplicas en múltiples estados de México y ~15 países",No es un registro de datos; instalación relacional donde cada par de zapatos rojos donado representa a una víctima de feminicidio o desaparición.,"Instalación artística itinerante, réplicas documentadas en prensa internacional",Arte y memoria,Web: https://www.elinachauvet.art/zapatos-rojos
Yumali Misleyda Torres León - Memorias: intervenciones urbanas,19.5438,-96.9102,Veracruz (Xalapa),"Proyecto de tesis/arte visual (Universidad Veracruzana) que documenta 6 casos específicos de feminicidio (2017-2019) mediante intervenciones figurativas callejeras geolocalizadas en los sitios de los hechos, cada una acompañada de texto descriptivo.","6 intervenciones urbanas (80x120cm), documento académico publicado",Arte y memoria,Web: https://cdigital.uv.mx/items/d62ca56e-6c93-4ddb-a9a7-4c41a3f31ec7
"CLADEM Jalisco (Comité de América Latina y el Caribe para la Defensa de los Derechos de la Mujer, capítulo Jalisco)",20.6597,-103.3496,Jalisco,Recopila y contrasta cifras propias frente a las oficiales para denunciar el subregistro de feminicidios; integra el Observatorio Ciudadano Nacional del Feminicidio en Jalisco,Reportes y denuncias públicas con cifras propias contrastadas con las del Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública,Periodismo / documentación independiente,Web: https://www.cladem.org/
Red #YoVoy8deMarzo Jalisco — Antimonumenta 'No + Feminicidios',19.4326,-99.1332,Jalisco,Acción de memoria colectiva impulsada por colectivas feministas junto con familiares y sobrevivientes; no es un registro estadístico sino una instalación de memoria y protesta,Escultura pública/antimonumento como pieza de memoria y protesta permanente en el espacio público; plataforma de exigencia de justicia,Arte y memoria,Instagram: https://www.instagram.com/yovoy8m/
ZonaDocs,20.6597,-103.3496,Jalisco,"Cobertura periodística de derechos humanos que documenta casos de feminicidio, acciones de colectivas y demandas de familiares en Jalisco, con seguimiento hemerográfico",Reportajes y notas periodísticas de acceso público; archivo documental hemerográfico,Periodismo / documentación independiente,Web: https://www.zonadocs.mx/
Yo te nombro: El Mapa de los Feminicidios en México,23.6345,-102.5528,Ciudad de México,Registro basado en monitoreo hemerográfico (notas de prensa) capturado de forma ciudadana e independiente desde enero de 2016 a la fecha,"Blog/mapa acumulativo con entradas caso por caso, de acceso público",Base de datos / mapa interactivo,Blog: http://mapafeminicidios.blogspot.com/p/inicio.html
Menos Días Aquí (Frida Guerrera),19.4326,-99.1332,"Nacional (incluye Chiapas, Coahuila, Colima y Durango)","Monitoreo de medios y redes sociales, seguimiento caso por caso con nombre, edad y estado",Blog/página de redes con reportes de feminicidios por entidad,Periodismo / documentación independiente,Blog: https://menosdiasaqui.blogspot.com/
Intersecta,19.4153952,-99.1587829,Nacional,Análisis de datos y litigio estratégico sobre violencia de género,"Reportes, litigio, incidencia","Incidencia y defensa legal, Observatorio / informe estadístico","Web: https://www.intersecta.org/ | Email: contacto@intersecta.org | Dirección: Cda. Orizaba 154, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México | Facebook: https://www.facebook.com/IntersectaOrg/ | X: https://x.com/intersectaorg | Instagram: https://www.instagram.com/intersectaorg/ | YouTube: https://www.youtube.com/c/IntersectaOrg | LinkedIn: https://www.linkedin.com/company/intersectaorg/"
La Malhablada (proyecto de muralismo feminista),19.2926,-99.6557,"Estado de México, Ciudad de México y Puebla","Pintar 10 murales en México que honren la memoria de víctimas de feminicidio. La fundadora identifica casos con ayuda de abogadas y personas que acompañan procesos legales, busca a las familias y les ofrece pintar un mural que reivindique la imagen y memoria de las víctimas, invitándolas a participar en el proceso de elaboración.","Murales de arte urbano/memoria visual; seis víctimas de feminicidio plasmadas en cinco bardas entre Puebla, Ciudad de México y Estado de México",Arte y memoria,Instagram: https://www.instagram.com/la_malhablada_/?hl=es
"Muralismo de Araceli Mejía (""Ara Meu"")",19.4326,-99.1332,Baja California Sur (La Paz) y Estado de México,"Los murales que retratan a víctimas de feminicidio son pintados bajo autorización y con características a petición de los familiares de las fallecidas, buscando evitar que sus rostros y nombres queden en el olvido",Murales de arte urbano; cuatro murales con esta temática realizados por la artista,Arte y memoria,Instagram: https://www.instagram.com/ara_arameu/
Colectiva Resistencia Feminista Yautepec,18.9242,-99.2216,Morelos (Yautepec),"Movilización y denuncia pública para exigir la investigación correcta de casos de feminicidio (rechazando clasificaciones oficiales como suicidio), señalamiento público de funcionarios por presunta protección a responsables, y documentación vía mural comunitario pintado junto con familias de víctimas.","Marchas y pronunciamientos públicos, mural comunitario ""Memoria Viva"" pintado por familias de víctimas.","Incidencia y defensa legal, Arte y memoria",Facebook: https://www.facebook.com/ColectivaResistenciaFeministaYautepec/
Existimos porque Resistimos Morelos,18.9242,-99.2216,Morelos (Cuernavaca),"Documentación testimonial (nombres, fechas y casos de víctimas), bordado colectivo como técnica central de memoria, activismo callejero (marchas, ofrendas, plantones frente a fiscalías), y acompañamiento a familiares con exigencia de reclasificación de casos mal tipificados como suicidio.","Mantas y bordados conmemorativos con rostros/nombres de víctimas, ofrendas/altares públicos anuales, documental ""Bordando historias: ¡que su voz y su recuerdo no se apague!"", pronunciamientos públicos a medios.","Arte y memoria, Incidencia y defensa legal",Facebook: https://www.facebook.com/p/Existimos-porque-Resistimos-Morelos-100066523364446/?locale=es_LA
